               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.071457,            0.059588,            0.010975,             0.32122,             0.54178,             0.35765,             0.13036,            0.065701,            0.047603,           0.0081144,           0.0019133,           0.0019133,            0.076113
                  37,            0.071909,            0.062092,            0.010281,             0.34247,             0.45024,             0.35701,             0.12694,            0.063904,             0.04753,           0.0079595,           0.0019311,           0.0019311,            0.075431
                  38,            0.067999,            0.057395,           0.0090309,             0.29748,             0.52185,             0.30415,             0.09044,             0.06837,            0.046299,           0.0078377,           0.0019466,           0.0019466,            0.074747
                  39,            0.073951,               0.057,            0.010101,             0.37264,             0.55642,             0.39822,             0.14627,            0.061432,            0.045741,            0.007632,           0.0019598,           0.0019598,             0.07406
                  40,            0.069365,            0.057412,           0.0096322,             0.29433,             0.47476,             0.30333,            0.094018,            0.071298,            0.043887,            0.007486,           0.0019707,           0.0019707,            0.073371
                  41,            0.073008,            0.060483,           0.0095742,             0.31569,             0.46263,             0.31402,            0.093469,            0.072963,            0.044313,           0.0073792,           0.0019793,           0.0019793,            0.072679
                  42,            0.074652,            0.055195,           0.0093896,             0.37425,             0.55778,             0.39401,             0.15581,            0.061973,            0.045493,           0.0074403,           0.0019857,           0.0019857,            0.071986
                  43,            0.069998,            0.056379,           0.0092291,             0.36241,             0.50033,              0.3627,             0.10901,            0.062753,            0.044595,           0.0073112,           0.0019899,           0.0019899,             0.07129
                  44,            0.067759,            0.056282,           0.0092434,             0.44114,             0.57126,             0.44454,             0.16658,            0.060289,            0.045001,           0.0071397,           0.0019918,           0.0019918,            0.070592
                  45,            0.069721,            0.056783,             0.00871,             0.32645,             0.59918,              0.3622,             0.12965,            0.061912,            0.044476,           0.0069658,           0.0019915,           0.0019915,            0.069891
                  46,            0.067799,            0.058604,           0.0085852,             0.35069,             0.64811,             0.37417,             0.12502,            0.065641,            0.043972,           0.0069809,            0.001989,            0.001989,            0.069189
                  47,            0.071218,            0.054631,           0.0080303,             0.36541,             0.57183,             0.39751,             0.15625,            0.063254,            0.043342,           0.0069744,           0.0019844,           0.0019844,            0.068484
                  48,            0.065844,            0.054593,           0.0092696,             0.50254,             0.50965,             0.46935,             0.14163,            0.061774,            0.043921,           0.0069114,           0.0019776,           0.0019776,            0.067778
                  49,            0.070031,            0.054284,           0.0092859,             0.36395,             0.51061,             0.37949,             0.14819,            0.060223,            0.044019,           0.0067744,           0.0019688,           0.0019688,            0.067069
                  50,            0.064391,            0.060403,           0.0086011,             0.42918,             0.56033,             0.44097,             0.15826,            0.057841,            0.045292,           0.0064766,            0.001958,            0.001958,            0.066358
                  51,            0.067626,            0.060304,           0.0083232,             0.36341,             0.57829,             0.38996,             0.15847,            0.059541,            0.044047,           0.0064632,           0.0019452,           0.0019452,            0.065645
                  52,            0.066252,             0.05705,           0.0077527,             0.45353,             0.59075,             0.46822,             0.18735,            0.057011,            0.044558,           0.0063661,           0.0019305,           0.0019305,             0.06493
                  53,            0.065017,            0.059212,           0.0080353,             0.40537,             0.45576,              0.4015,             0.15631,            0.064336,            0.042646,           0.0063113,           0.0019138,           0.0019138,            0.064214
                  54,            0.065291,             0.05518,           0.0081478,             0.47176,             0.58095,             0.49127,             0.17292,            0.059163,             0.04377,           0.0060931,           0.0018954,           0.0018954,            0.063495
                  55,            0.067699,            0.056779,            0.007864,             0.50709,             0.62315,             0.51708,             0.22186,            0.057985,            0.043126,           0.0062164,           0.0018753,           0.0018753,            0.062775
                  56,             0.06239,            0.060197,           0.0081258,             0.44208,             0.66168,             0.47106,             0.18996,            0.055814,            0.044616,           0.0060522,           0.0018534,           0.0018534,            0.062053
                  57,            0.064663,            0.052409,           0.0080967,             0.32644,             0.57717,             0.37425,             0.11221,            0.066162,            0.041309,           0.0060744,           0.0018299,           0.0018299,             0.06133
                  58,            0.066392,            0.058666,           0.0080772,             0.59488,             0.58721,             0.55062,             0.24565,            0.052604,            0.043998,           0.0058717,           0.0018049,           0.0018049,            0.060605
                  59,            0.063048,            0.055842,           0.0082392,             0.42365,             0.62555,             0.45552,             0.18874,            0.058023,            0.043534,           0.0058363,           0.0017785,           0.0017785,            0.059878
                  60,            0.063704,            0.056943,           0.0079249,             0.58619,              0.6201,             0.57307,             0.25622,            0.052376,            0.043941,           0.0057645,           0.0017506,           0.0017506,            0.059151
                  61,            0.061473,            0.062563,           0.0067572,              0.5612,             0.61969,             0.55402,             0.20937,            0.054579,            0.044051,            0.005776,           0.0017215,           0.0017215,            0.058421
                  62,             0.05922,            0.058658,           0.0074744,             0.56523,             0.57239,             0.53961,             0.21794,            0.054059,             0.04395,            0.005657,           0.0016911,           0.0016911,            0.057691
                  63,            0.061331,            0.054495,           0.0078204,             0.47882,             0.62234,             0.51807,              0.2271,            0.053865,            0.043118,           0.0056855,           0.0016596,           0.0016596,             0.05696
                  64,            0.062844,            0.056201,           0.0074075,             0.54909,             0.62174,             0.54962,             0.22922,            0.053398,            0.042834,            0.005574,           0.0016271,           0.0016271,            0.056227
                  65,            0.061038,            0.057945,           0.0073803,             0.45627,              0.6171,             0.47942,             0.19598,            0.054169,            0.042794,           0.0054496,           0.0015937,           0.0015937,            0.055494
                  66,            0.059309,             0.05607,            0.007029,             0.54493,             0.63461,             0.57223,             0.25171,            0.050759,            0.044024,           0.0054629,           0.0015594,           0.0015594,            0.054759
                  67,            0.057621,            0.061341,           0.0071282,             0.47973,             0.68541,              0.5102,             0.21641,            0.054903,             0.04315,           0.0053087,           0.0015244,           0.0015244,            0.054024
                  68,            0.058813,            0.059236,           0.0067562,             0.59351,             0.65143,              0.5975,             0.28332,            0.050627,            0.042955,           0.0052813,           0.0014888,           0.0014888,            0.053289
                  69,            0.058303,            0.053886,           0.0074283,              0.4451,             0.67081,             0.52234,             0.20871,            0.052474,            0.042878,           0.0051903,           0.0014526,           0.0014526,            0.052553
                  70,            0.058178,            0.061261,           0.0069291,             0.60544,             0.64762,             0.60653,              0.2706,            0.049266,            0.044213,           0.0050049,           0.0014161,           0.0014161,            0.051816
                  71,            0.059815,            0.052333,           0.0069757,              0.3621,             0.54963,             0.38322,             0.14028,             0.05927,            0.041156,           0.0050551,           0.0013792,           0.0013792,            0.051079
                  72,            0.064698,            0.050773,           0.0068394,             0.57093,              0.5776,              0.5434,             0.25284,            0.053499,            0.041983,           0.0051874,           0.0013421,           0.0013421,            0.050342
                  73,            0.061164,            0.058139,           0.0069099,             0.42388,             0.59911,             0.45293,             0.16392,            0.061155,            0.041488,           0.0050417,            0.001305,            0.001305,            0.049605
                  74,            0.063611,            0.051913,            0.005932,             0.47074,             0.65415,             0.51548,             0.23008,            0.052246,            0.043586,           0.0051389,           0.0012678,           0.0012678,            0.048868
                  75,            0.061648,             0.05252,           0.0063527,             0.52756,             0.64192,             0.56722,             0.24465,            0.052814,            0.042909,           0.0051595,           0.0012309,           0.0012309,            0.048131
                  76,            0.058026,            0.055486,           0.0061854,             0.45924,             0.61216,             0.50232,              0.2243,             0.05347,            0.042985,           0.0051156,           0.0011942,           0.0011942,            0.047394
                  77,            0.062333,            0.055822,           0.0067075,              0.5817,             0.71269,             0.62556,             0.29084,             0.04879,            0.043119,           0.0050347,           0.0011579,           0.0011579,            0.046658
                  78,            0.059367,            0.054261,           0.0065517,             0.40869,             0.63455,             0.46967,             0.20127,            0.056101,            0.041523,           0.0049784,            0.001122,            0.001122,            0.045922
                  79,            0.057872,            0.056295,           0.0072158,             0.50734,             0.67155,             0.53378,             0.24465,            0.050507,            0.042411,           0.0049782,           0.0010869,           0.0010869,            0.045187
                  80,            0.059247,            0.052244,           0.0063858,             0.60781,             0.63893,             0.61014,             0.24673,            0.050202,            0.042598,           0.0050495,           0.0010524,           0.0010524,            0.044452
                  81,            0.056049,            0.055869,           0.0067828,             0.62749,             0.63918,             0.61607,             0.27508,            0.049739,            0.042188,           0.0048828,           0.0010189,           0.0010189,            0.043719
                  82,            0.055715,            0.055976,           0.0057595,             0.56548,             0.65934,             0.57794,              0.2647,            0.050774,            0.041967,           0.0048344,           0.0009863,           0.0009863,            0.042986
                  83,            0.055364,            0.059236,           0.0066945,             0.61893,             0.65614,             0.62521,             0.29588,            0.048649,             0.04244,           0.0047528,          0.00095485,          0.00095485,            0.042255
                  84,            0.055683,            0.056703,           0.0063271,             0.63521,             0.64965,               0.627,             0.28846,            0.049464,            0.042522,           0.0047652,          0.00092463,          0.00092463,            0.041525
                  85,             0.05465,            0.057255,            0.006529,             0.58814,             0.66438,              0.6159,             0.28179,            0.048837,            0.042804,           0.0046534,          0.00089577,          0.00089577,            0.040796
                  86,            0.054794,             0.05348,           0.0060268,             0.61676,             0.67569,             0.62979,             0.29613,            0.048428,            0.042329,           0.0046085,          0.00086839,          0.00086839,            0.040068
                  87,            0.055568,            0.058751,           0.0058431,              0.6279,             0.57807,             0.59274,             0.26221,            0.050389,            0.042254,           0.0045399,          0.00084261,          0.00084261,            0.039343
                  88,            0.056416,             0.05982,           0.0061719,             0.65913,             0.67524,             0.65704,             0.30899,            0.047216,             0.04255,            0.004534,          0.00081856,          0.00081856,            0.038619
                  89,            0.053989,            0.058665,            0.005687,             0.67411,             0.67634,               0.658,             0.31092,            0.046443,            0.042376,           0.0044654,          0.00079634,          0.00079634,            0.037896
                  90,            0.053679,            0.058251,           0.0058824,             0.61668,             0.68283,             0.65002,             0.30779,            0.047418,            0.042415,           0.0044625,          0.00077608,          0.00077608,            0.037176
                  91,            0.052762,            0.057872,           0.0059962,              0.6068,             0.68414,              0.6463,             0.31238,            0.047075,            0.042178,           0.0044592,          0.00075789,          0.00075789,            0.036458
                  92,            0.053424,            0.059276,           0.0070828,             0.67618,               0.643,             0.65075,             0.31722,            0.046139,            0.041769,           0.0045193,          0.00074189,          0.00074189,            0.035742
                  93,             0.05298,            0.051069,           0.0057157,             0.68003,              0.6152,             0.63564,             0.28844,            0.048723,            0.041458,           0.0045482,           0.0007282,           0.0007282,            0.035028
                  94,            0.052152,            0.056654,           0.0054713,             0.66897,             0.63742,             0.65436,             0.31356,            0.046499,             0.04193,            0.004449,          0.00071693,          0.00071693,            0.034317
                  95,            0.053525,            0.054327,           0.0053987,              0.6426,             0.63416,             0.64155,             0.31945,            0.046772,            0.041833,           0.0043963,          0.00070818,          0.00070818,            0.033608
                  96,            0.052813,            0.053949,           0.0059121,             0.62612,             0.65512,             0.62755,             0.30507,             0.04761,            0.041504,           0.0043153,          0.00070206,          0.00070206,            0.032902
                  97,             0.05233,            0.058017,           0.0055721,             0.65876,             0.65591,             0.65631,             0.32503,            0.045758,            0.041747,           0.0042512,          0.00069868,          0.00069868,            0.032199
                  98,            0.051616,            0.058134,           0.0056832,             0.67023,             0.64893,             0.65328,             0.31267,            0.046825,            0.041487,           0.0041664,          0.00069814,          0.00069814,            0.031498
                  99,            0.053177,            0.055902,           0.0062997,             0.67068,             0.64936,             0.65192,             0.30812,            0.048016,            0.041197,           0.0041957,          0.00070055,          0.00070055,            0.030801
