image,latitude,longitude
FRAMES/LEFT\prise12L\2022_02_26_150718.jpg,48.57691736277988,7.515033131662345
FRAMES/LEFT\prise12L\2022_02_26_150728.jpg,48.57730742015682,7.514968525838091
FRAMES/LEFT\prise12L\2022_02_26_150738.jpg,48.5776933330726,7.514903081510934
FRAMES/LEFT\prise12L\2022_02_26_150748.jpg,48.5779871060172,7.5148607537027505
FRAMES/LEFT\prise12L\2022_02_26_150758.jpg,48.5779882914311,7.514857148248792
FRAMES/LEFT\prise12L\2022_02_26_150808.jpg,48.57803792292753,7.51478541521284
FRAMES/LEFT\prise12L\2022_02_26_150818.jpg,48.578014103034754,7.514417420552076
FRAMES/LEFT\prise12L\2022_02_26_150828.jpg,48.57799570249341,7.514159803921569
FRAMES/LEFT\prise12L\2022_02_26_150838.jpg,48.57799753289474,7.514158191595067
FRAMES/LEFT\prise21L\2022_02_26_150854.jpg,48.57802222222222,7.514130555555556
FRAMES/LEFT\prise21L\2022_02_26_150904.jpg,48.57802222222222,7.514130555555556
FRAMES/LEFT\prise21L\2022_02_26_150914.jpg,48.57801667226139,7.5141333305611
FRAMES/LEFT\prise21L\2022_02_26_150924.jpg,48.57800610353738,7.513993547165414
FRAMES/LEFT\prise21L\2022_02_26_150934.jpg,48.57798436041083,7.513724892604203
FRAMES/LEFT\prise21L\2022_02_26_150944.jpg,48.57796785725686,7.513421092796093
FRAMES/LEFT\prise21L\2022_02_26_150954.jpg,48.57797039882061,7.513034082149543
FRAMES/LEFT\prise21L\2022_02_26_151004.jpg,48.57798667732481,7.512566578483245
FRAMES/LEFT\prise21L\2022_02_26_151014.jpg,48.57801673999899,7.5121350235705036
FRAMES/LEFT\prise21L\2022_02_26_151024.jpg,48.57806339480959,7.511731565656565
FRAMES/LEFT\prise21L\2022_02_26_151034.jpg,48.578123836514685,7.511400701283199
FRAMES/LEFT\prise21L\2022_02_26_151044.jpg,48.578176237623765,7.511102502729487
FRAMES/LEFT\prise21L\2022_02_26_151054.jpg,48.578236903085774,7.510808506651677
FRAMES/LEFT\prise21L\2022_02_26_151104.jpg,48.578336183960474,7.510426357536076
FRAMES/LEFT\prise21L\2022_02_26_151114.jpg,48.57844106386445,7.509983472895549
FRAMES/LEFT\prise21L\2022_02_26_151124.jpg,48.578546019124836,7.509551467748166
FRAMES/LEFT\prise21L\2022_02_26_151134.jpg,48.57861242448122,7.509210363872644
FRAMES/LEFT\prise21L\2022_02_26_151144.jpg,48.57864298641614,7.508460909217488
FRAMES/LEFT\prise21L\2022_02_26_151154.jpg,48.578634906322016,7.5076642531509785
FRAMES/LEFT\prise21L\2022_02_26_151204.jpg,48.57861299754764,7.5071875640237655
FRAMES/LEFT\prise21L\2022_02_26_151214.jpg,48.578510980763916,7.506324225414121
FRAMES/LEFT\prise21L\2022_02_26_151224.jpg,48.57837566553199,7.5057638896778425
FRAMES/LEFT\prise21L\2022_02_26_151234.jpg,48.57833715672585,7.505757164813308
FRAMES/LEFT\prise21L\2022_02_26_151244.jpg,48.578030511585226,7.505866060025543
FRAMES/LEFT\prise21L\2022_02_26_151254.jpg,48.5777375698735,7.505958548210658
FRAMES/LEFT\prise21L\2022_02_26_151304.jpg,48.577508105502986,7.506031836342487
FRAMES/LEFT\prise21L\2022_02_26_151314.jpg,48.5772509303562,7.506127365778293
FRAMES/LEFT\prise21L\2022_02_26_151324.jpg,48.57701304284199,7.506209188606277
FRAMES/LEFT\prise21L\2022_02_26_151334.jpg,48.576799988122815,7.506365774386305
FRAMES/LEFT\prise21L\2022_02_26_151344.jpg,48.57652604824641,7.506508641561441
FRAMES/LEFT\prise21L\2022_02_26_151354.jpg,48.57626865146397,7.506706921675774
FRAMES/LEFT\prise21L\2022_02_26_151404.jpg,48.57603057430322,7.5069716877026
FRAMES/LEFT\prise21L\2022_02_26_151414.jpg,48.57576241731136,7.507223905622892
FRAMES/LEFT\prise21L\2022_02_26_151424.jpg,48.575523882335816,7.507321679962459
FRAMES/LEFT\prise21L\2022_02_26_151434.jpg,48.575498760099194,7.50723807287386
FRAMES/LEFT\prise21L\2022_02_26_151444.jpg,48.575498550962386,7.507234734477962
FRAMES/LEFT\prise21L\2022_02_26_151454.jpg,48.57549873748907,7.507232477260567
FRAMES/LEFT\prise21L\2022_02_26_151504.jpg,48.57550093404809,7.5072364515997885
FRAMES/LEFT\prise21L\2022_02_26_151514.jpg,48.57550352499156,7.507238735720212
FRAMES/LEFT\prise21L\2022_02_26_151524.jpg,48.57550612535613,7.507243812916633
